License: Creative Commons Attribution-ShareAlike 4.0 International License
License Link: http://creativecommons.org/licenses/by-sa/4.0/
Author: Dr. Dawn M. Foster
Status: Updated on 2022-04-25
Source URL: https://github.com/geekygirldawn/k8s_data/datasets

company,username,team
Google,adammil2000,Maintainers
Google,andraxylia,Maintainers
Clickhouse,bianpengyuan,Maintainers
Red Hat Inc.,brian-avery,Maintainers
Red Hat,clyang82,Maintainers
Google LLC,costinm,Maintainers
Red Hat,dgn,Maintainers
Google,diemtvu,Maintainers
@google ,douglas-reid,Maintainers
Aviatrix,duderino,Maintainers
Google LLC,elfinhe,Maintainers
IBM,ericvn,Maintainers
IBM @ibm-research and Red Hat partner engineer,esnible,Maintainers
Google,fejta,Maintainers
Huawei Technologies Co. Ltd,fleeto,Maintainers
Aviatrix,fpesce,Maintainers
IBM,frankbu,Maintainers
Google LLC,gargnupur,Maintainers
@RedHatOfficial,gbaufake,Maintainers
Solo.io,GregHanson,Maintainers
NotFound,hanxiaop,Maintainers
Google,howardjohn,Maintainers
Huawei Technologies Co. Ltd,hzxuzhonghu,Maintainers
Google LLC,incfly,Maintainers
@Intel,irisdingbj,Maintainers
@aspenmesh ,jacob-delgado,Maintainers
@statsig-io,jasonwzm,Maintainers
Google,JimmyCYJ,Maintainers
Cisco System,john-a-joyce,Maintainers
IBM,johnma14,Maintainers
Red Hat,jwendell,Maintainers
DaoCloud,kebe7jun,Maintainers
@google ,kyessenov,Maintainers
Google,lambdai,Maintainers
@tetrateio,liamawhite,Maintainers
Google LLC,liminw,Maintainers
Solo.io,linsun,Maintainers
@tetrateio,lizan,Maintainers
Beijing Enterprises Sanxing,loverto,Maintainers
ex-google,mandarjog,Maintainers
Red Hat,morvencao,Maintainers
Google Inc.,myidpt,Maintainers
SUSE,Nino-K,Maintainers
Google,nmittler,Maintainers
@istio @solo-io,nrjpoddar,Maintainers
Google,ostromart,Maintainers
Salesforce.com inc.,ramaraochavali,Maintainers
Google LLC,rcaballeromx,Maintainers
Red Hat Inc.,rcernich,Maintainers
@google ,richardwxn,Maintainers
Google LLC,rlenglet,Maintainers
@Tetrateio,rootsongjc,Maintainers
@google,rshriram,Maintainers
@Alibaba @kubernetes @istio  @servicemesher,SataQiu,Maintainers
Cisco Systems,sbezverk,Maintainers
International Business Machines Corporation,sdake,Maintainers
VMware,shamsher31,Maintainers
